IdPunctConsum,Year,Month,Hour,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
217,2010,1,1,0.116,0.125,0.123,0.299,0.398,0.501,0.565,0.417,0.478,0.137,0.39,0.489,0.641,0.644,0.761,0.794,0.197,0.364,1.113,0.647,0.498,0.855,0.58,0.236,0.363,0.879,0.728,0.859,0.738,0.675,0.156
217,2010,1,2,0.12,0.119,0.128,0.142,0.234,0.312,0.337,0.317,0.337,0.13,0.175,0.431,0.461,0.465,0.489,0.693,0.168,0.235,0.811,0.495,0.435,0.606,0.461,0.17,0.364,0.693,0.748,0.535,0.713,0.416,0.152
217,2010,1,3,0.116,0.123,0.131,0.144,0.173,0.26,0.372,0.3,0.338,0.136,0.137,0.525,0.429,0.41,0.472,0.665,0.168,0.2,0.689,0.462,0.418,0.495,0.452,0.171,0.184,0.536,0.715,0.456,0.441,0.386,0.152
217,2010,1,4,0.124,0.12,0.123,0.157,0.178,0.225,0.359,0.301,0.32,0.133,0.137,0.324,0.43,0.371,0.473,0.674,0.174,0.187,0.657,0.427,0.458,0.479,0.451,0.168,0.179,0.541,0.603,0.447,0.424,0.388,0.151
217,2010,1,5,0.122,0.126,0.132,0.174,0.203,0.275,0.34,0.291,0.241,0.134,0.148,0.301,0.432,0.385,0.469,0.524,0.17,0.21,0.618,0.404,0.491,0.488,0.398,0.169,0.179,0.538,0.554,0.453,0.401,0.308,0.159
217,2010,1,6,0.123,0.124,0.133,0.178,0.523,0.22,0.68,0.291,0.147,0.137,0.469,0.412,0.637,0.706,0.699,0.268,0.161,0.466,0.641,0.647,0.771,0.49,0.294,0.176,0.451,0.807,0.538,0.458,0.424,0.265,0.16
217,2010,1,7,0.12,0.121,0.128,0.198,0.613,0.264,0.734,0.362,0.136,0.134,0.56,0.49,0.757,0.813,0.772,0.235,0.166,0.607,0.579,0.666,0.765,0.502,0.252,0.174,0.625,0.913,0.556,0.495,0.422,0.24,0.151
217,2010,1,8,0.115,0.116,0.126,0.467,0.868,0.791,0.9,0.813,0.178,0.128,0.844,0.88,1.027,0.945,0.939,0.215,0.162,0.831,0.788,0.794,1.006,0.997,0.255,0.164,0.877,1.157,1.053,0.902,0.863,0.245,0.152
217,2010,1,9,0.106,0.112,0.11,0.62,0.942,0.904,0.964,0.956,0.224,0.115,0.976,1.023,1.059,1.07,0.919,0.212,0.146,1.065,0.93,0.875,1.122,1.095,0.263,0.159,0.965,1.185,1.14,1.078,0.994,0.242,0.147
217,2010,1,10,0.101,0.102,0.102,0.605,1.011,0.976,1.074,0.966,0.221,0.11,0.961,1.15,1.046,1.069,0.889,0.216,0.14,1.237,0.926,0.881,1.113,1.027,0.268,0.143,1.016,1.264,1.148,0.984,1.013,0.265,0.145
217,2010,1,11,0.104,0.112,0.107,0.701,0.995,0.984,1.122,0.902,0.215,0.107,0.961,1.086,1.081,1.037,0.975,0.207,0.141,1.195,0.913,0.908,1.03,0.962,0.281,0.143,1.009,1.22,1.089,0.935,0.968,0.308,0.139
217,2010,1,12,0.1,0.109,0.11,0.639,0.888,0.916,1.061,0.875,0.202,0.11,0.957,0.999,1.059,1.017,0.931,0.212,0.142,1.116,0.922,0.861,1.027,0.916,0.263,0.149,0.995,1.221,0.954,0.933,0.959,0.295,0.142
217,2010,1,13,0.102,0.106,0.107,0.67,0.824,0.907,1.061,0.894,0.178,0.104,0.976,1.031,1.101,1.013,0.903,0.212,0.145,1.077,0.95,0.873,1.008,0.874,0.285,0.148,1.065,1.097,0.96,0.983,1.05,0.227,0.141
217,2010,1,14,0.097,0.101,0.113,0.733,0.825,0.893,1.059,0.877,0.194,0.106,0.997,1.095,1.09,0.997,0.977,0.219,0.152,1.093,0.972,0.873,1.011,0.976,0.269,0.147,1.092,1.021,1.045,1.025,1.094,0.215,0.139
217,2010,1,15,0.101,0.108,0.141,0.721,0.791,0.943,1.031,0.875,0.177,0.111,0.996,1.006,1.113,0.941,0.978,0.217,0.191,1.083,0.927,0.857,1.035,1.005,0.276,0.17,1.054,1.031,0.971,1.031,1.01,0.209,0.175
217,2010,1,16,0.098,0.102,0.192,0.673,0.77,0.916,0.996,0.854,0.114,0.138,0.948,0.891,1.103,1.033,0.99,0.203,0.209,1.078,0.932,0.855,1.104,1,0.221,0.182,1.088,1.079,0.908,1.038,1.02,0.197,0.179
217,2010,1,17,0.113,0.112,0.281,0.702,0.749,0.89,1.045,0.904,0.116,0.247,0.928,0.88,1.081,0.959,0.921,0.209,0.342,1.035,0.94,0.885,1.048,0.984,0.202,0.339,1.029,1.068,0.926,1.033,1.005,0.152,0.305
217,2010,1,18,0.122,0.121,0.301,0.734,0.779,0.91,1.047,0.885,0.131,0.349,0.972,0.908,1.054,0.982,0.971,0.202,0.44,1.029,0.984,0.885,1.017,0.943,0.228,0.424,1.004,1.034,0.936,1.012,0.996,0.157,0.347
217,2010,1,19,0.122,0.124,0.326,0.725,0.865,1.019,1.076,0.885,0.133,0.377,1.031,1.048,1.169,1.053,1.009,0.167,0.46,1.095,1.039,0.851,1.092,0.901,0.23,0.379,1.175,1.061,1.042,1.071,0.919,0.166,0.422
217,2010,1,20,0.123,0.128,0.403,0.765,0.958,1.028,1.148,0.846,0.133,0.326,0.956,1.027,1.156,1.001,0.961,0.164,0.348,1.107,1.024,0.874,1.162,0.972,0.258,0.332,1.335,1.245,1.125,1.115,0.9,0.164,0.332
217,2010,1,21,0.124,0.128,0.532,0.928,0.939,1.125,1.21,0.881,0.15,0.455,1.094,1.123,1.155,1.124,1.172,0.185,0.474,1.154,1.045,0.866,1.173,1.072,0.223,0.457,1.275,1.273,1.177,1.245,0.962,0.169,0.466
